window_id,window_label,start_date,end_date,strategy,scope,regime_id,regime_name,n_obs,share_obs_in_window,mapped_window_n_obs,n_days_reported,ann_return,ann_volatility,sharpe,max_drawdown,calmar,expected_shortfall,return_over_es
rates_stock_bond_stress_2022,2022 rates / stock-bond stress,2022-01-03,2022-10-31,cvar_baseline,gross,0,Low-stress / Risk-on,12,0.05555555555555555,216,216,-0.2445121497228358,0.1271614826917015,-1.922847583616548,-0.2233451955150682,-1.0947723731372567,0.017303198048198,-14.13103803364831
rates_stock_bond_stress_2022,2022 rates / stock-bond stress,2022-01-03,2022-10-31,cvar_baseline,gross,1,High-stress / Risk-off,204,0.9444444444444444,216,216,-0.2445121497228358,0.1271614826917015,-1.922847583616548,-0.2233451955150682,-1.0947723731372567,0.017303198048198,-14.13103803364831
rates_stock_bond_stress_2022,2022 rates / stock-bond stress,2022-01-03,2022-10-31,cvar_baseline,net,0,Low-stress / Risk-on,12,0.05555555555555555,216,216,-0.2446848401865627,0.1271549600209205,-1.9243043302935663,-0.2234867933811544,-1.094851451777982,0.017303198048198,-14.141018296444
rates_stock_bond_stress_2022,2022 rates / stock-bond stress,2022-01-03,2022-10-31,cvar_baseline,net,1,High-stress / Risk-off,204,0.9444444444444444,216,216,-0.2446848401865627,0.1271549600209205,-1.9243043302935663,-0.2234867933811544,-1.094851451777982,0.017303198048198,-14.141018296444
rates_stock_bond_stress_2022,2022 rates / stock-bond stress,2022-01-03,2022-10-31,cvar_no_crypto_control,gross,0,Low-stress / Risk-on,12,0.05555555555555555,216,216,-0.2440926580377529,0.1270571137858727,-1.921125474714609,-0.2229755717431057,-1.0947058286679785,0.017244557172033,-14.15476521679653
rates_stock_bond_stress_2022,2022 rates / stock-bond stress,2022-01-03,2022-10-31,cvar_no_crypto_control,gross,1,High-stress / Risk-off,204,0.9444444444444444,216,216,-0.2440926580377529,0.1270571137858727,-1.921125474714609,-0.2229755717431057,-1.0947058286679785,0.017244557172033,-14.15476521679653
rates_stock_bond_stress_2022,2022 rates / stock-bond stress,2022-01-03,2022-10-31,cvar_no_crypto_control,net,0,Low-stress / Risk-on,12,0.05555555555555555,216,216,-0.2442630501577367,0.1270506018803929,-1.9225650767690905,-0.2231151273719724,-1.0947848002726723,0.017244557172033,-14.164646138543835
rates_stock_bond_stress_2022,2022 rates / stock-bond stress,2022-01-03,2022-10-31,cvar_no_crypto_control,net,1,High-stress / Risk-off,204,0.9444444444444444,216,216,-0.2442630501577367,0.1270506018803929,-1.9225650767690905,-0.2231151273719724,-1.0947848002726723,0.017244557172033,-14.164646138543835
rates_stock_bond_stress_2022,2022 rates / stock-bond stress,2022-01-03,2022-10-31,minvar_baseline_ch1,gross,0,Low-stress / Risk-on,12,0.05555555555555555,216,216,-0.2467551066872577,0.1272108596866665,-1.9397330329740792,-0.2251362280148247,-1.096025765657802,0.0172826749377289,-14.277599247589803
rates_stock_bond_stress_2022,2022 rates / stock-bond stress,2022-01-03,2022-10-31,minvar_baseline_ch1,gross,1,High-stress / Risk-off,204,0.9444444444444444,216,216,-0.2467551066872577,0.1272108596866665,-1.9397330329740792,-0.2251362280148247,-1.096025765657802,0.0172826749377289,-14.277599247589803
rates_stock_bond_stress_2022,2022 rates / stock-bond stress,2022-01-03,2022-10-31,minvar_baseline_ch1,net,0,Low-stress / Risk-on,12,0.05555555555555555,216,216,-0.2468728700661729,0.1272056110164834,-1.940738840790465,-0.22522953429448,-1.0960945723192548,0.0172826749377289,-14.284413203145848
rates_stock_bond_stress_2022,2022 rates / stock-bond stress,2022-01-03,2022-10-31,minvar_baseline_ch1,net,1,High-stress / Risk-off,204,0.9444444444444444,216,216,-0.2468728700661729,0.1272056110164834,-1.940738840790465,-0.22522953429448,-1.0960945723192548,0.0172826749377289,-14.284413203145848
rates_stock_bond_stress_2022,2022 rates / stock-bond stress,2022-01-03,2022-10-31,minvar_no_crypto_control,gross,0,Low-stress / Risk-on,12,0.05555555555555555,216,216,-0.2467551066872577,0.1272108596866665,-1.9397330329740792,-0.2251362280148247,-1.096025765657802,0.0172826749377289,-14.277599247589803
rates_stock_bond_stress_2022,2022 rates / stock-bond stress,2022-01-03,2022-10-31,minvar_no_crypto_control,gross,1,High-stress / Risk-off,204,0.9444444444444444,216,216,-0.2467551066872577,0.1272108596866665,-1.9397330329740792,-0.2251362280148247,-1.096025765657802,0.0172826749377289,-14.277599247589803
rates_stock_bond_stress_2022,2022 rates / stock-bond stress,2022-01-03,2022-10-31,minvar_no_crypto_control,net,0,Low-stress / Risk-on,12,0.05555555555555555,216,216,-0.2468728887399945,0.1272056130865674,-1.940738956008096,-0.2252295342944796,-1.096094655229438,0.0172826749377289,-14.28441428363956
rates_stock_bond_stress_2022,2022 rates / stock-bond stress,2022-01-03,2022-10-31,minvar_no_crypto_control,net,1,High-stress / Risk-off,204,0.9444444444444444,216,216,-0.2468728887399945,0.1272056130865674,-1.940738956008096,-0.2252295342944796,-1.096094655229438,0.0172826749377289,-14.28441428363956
