experiment_id,dimension_tested,family,is_anchor,sample_scope,lookback_window_days,max_total_crypto_weight,rebalance_frequency,covariance_method,cost_bps,cost_rate,ann_return_gross,ann_volatility_gross,sharpe_gross,max_drawdown_gross,calmar_gross,ann_return_net,ann_volatility_net,sharpe_net,max_drawdown_net,calmar_net,cumulative_cost,oos_start,oos_end,n_oos_days,n_rebalances
lookback_504,lookback,lookback,False,native,504,0.2,monthly,sample,25.0,0.0025,0.07839344677511728,0.0925414461014783,0.8471171575291062,-0.23267185211645824,0.3369270758883174,0.07794353473402427,0.09253807703648094,0.8422860862269363,-0.23297273162123588,0.3345607625047891,0.004190529270846527,2019-06-01,2026-05-02,2528,84
lookback_504,lookback,lookback,False,native,504,0.2,monthly,sample,50.0,0.005,0.07839344677511728,0.0925414461014783,0.8471171575291062,-0.23267185211645824,0.3369270758883174,0.07749377605963992,0.09253504507887853,0.8374532696621355,-0.23327350766632926,0.33220135811772417,0.008381058541693054,2019-06-01,2026-05-02,2528,84
crypto_cap_0_00,crypto_cap,crypto_cap,False,native,252,0.0,monthly,sample,0.0,0.0,0.08192208470354534,0.0889862891316578,0.920614686857424,-0.23338748922076424,0.35101317974269897,0.08192208470354534,0.0889862891316578,0.920614686857424,-0.23338748922076424,0.35101317974269897,0.0,2018-10-01,2026-05-02,2771,92
crypto_cap_0_00,crypto_cap,crypto_cap,False,native,252,0.0,monthly,sample,10.0,0.001,0.08192208470354534,0.0889862891316578,0.920614686857424,-0.23338748922076424,0.35101317974269897,0.08166132186555375,0.0889861735665249,0.9176855076761427,-0.23355193227077875,0.3496495236480257,0.0026514859857124785,2018-10-01,2026-05-02,2771,92
crypto_cap_0_00,crypto_cap,crypto_cap,False,native,252,0.0,monthly,sample,25.0,0.0025,0.08192208470354534,0.0889862891316578,0.920614686857424,-0.23338748922076424,0.35101317974269897,0.0812702578758131,0.0889863843217491,0.9132886845021513,-0.23379854084037044,0.34760806283774726,0.0066287149642811965,2018-10-01,2026-05-02,2771,92
crypto_cap_0_00,crypto_cap,crypto_cap,False,native,252,0.0,monthly,sample,50.0,0.005,0.08192208470354534,0.0889862891316578,0.920614686857424,-0.23338748922076424,0.35101317974269897,0.08061869854096004,0.08898775984241167,0.9059526690381645,-0.2342094058132559,0.3442163147164141,0.013257429928562393,2018-10-01,2026-05-02,2771,92
crypto_cap_0_10,crypto_cap,crypto_cap,False,native,252,0.1,monthly,sample,0.0,0.0,0.08317635130062162,0.08941715960880707,0.9302056972566732,-0.23332513414620526,0.35648260357798395,0.08317635130062162,0.08941715960880707,0.9302056972566732,-0.23332513414620526,0.35648260357798395,0.0,2018-10-01,2026-05-02,2771,92
crypto_cap_0_10,crypto_cap,crypto_cap,False,native,252,0.1,monthly,sample,10.0,0.001,0.08317635130062162,0.08941715960880707,0.9302056972566732,-0.23332513414620526,0.35648260357798395,0.08289286207246982,0.08941667903854007,0.9270402676970548,-0.23348995119373495,0.3550168289841761,0.0028796252699339756,2018-10-01,2026-05-02,2771,92
crypto_cap_0_10,crypto_cap,crypto_cap,False,native,252,0.1,monthly,sample,25.0,0.0025,0.08317635130062162,0.08941715960880707,0.9302056972566732,-0.23332513414620526,0.35648260357798395,0.08246772580954675,0.08941638007024842,0.922288799264267,-0.23373712047794892,0.3528225454344419,0.0071990631748349385,2018-10-01,2026-05-02,2771,92
crypto_cap_0_10,crypto_cap,crypto_cap,False,native,252,0.1,monthly,sample,50.0,0.005,0.08317635130062162,0.08941715960880707,0.9302056972566732,-0.23332513414620526,0.35648260357798395,0.08175942550088244,0.08941700682928298,0.9143610192295905,-0.23414891922444359,0.3491770355878171,0.014398126349669877,2018-10-01,2026-05-02,2771,92
crypto_cap_0_20,crypto_cap,crypto_cap,False,native,252,0.2,monthly,sample,0.0,0.0,0.0831762082787626,0.08941718802221198,0.9302038021828749,-0.23332513414620537,0.35648199060561997,0.0831762082787626,0.08941718802221198,0.9302038021828749,-0.23332513414620537,0.35648199060561997,0.0,2018-10-01,2026-05-02,2771,92
crypto_cap_0_20,crypto_cap,crypto_cap,False,native,252,0.2,monthly,sample,10.0,0.001,0.0831762082787626,0.08941718802221198,0.9302038021828749,-0.23332513414620537,0.35648199060561997,0.08289271912714224,0.0894167073382878,0.9270383756531816,-0.23348995119373506,0.35501621677227196,0.002879624981975352,2018-10-01,2026-05-02,2771,92
crypto_cap_0_20,crypto_cap,crypto_cap,False,native,252,0.2,monthly,sample,25.0,0.0025,0.0831762082787626,0.08941718802221198,0.9302038021828749,-0.23332513414620537,0.35648199060561997,0.082467582979048,0.08941640819855405,0.9222869117704235,-0.23373712047794892,0.3528219343612051,0.00719906245493838,2018-10-01,2026-05-02,2771,92
crypto_cap_0_20,crypto_cap,crypto_cap,False,native,252,0.2,monthly,sample,50.0,0.005,0.0831762082787626,0.08941718802221198,0.9302038021828749,-0.23332513414620537,0.35648199060561997,0.0817592828618472,0.08941703466930882,0.9143591393319818,-0.23414891922444359,0.34917642640697727,0.01439812490987676,2018-10-01,2026-05-02,2771,92
