experiment_id,dimension_tested,family,is_anchor,sample_scope,lookback_window_days,max_total_crypto_weight,rebalance_frequency,covariance_method,cost_bps,cost_rate,ann_return_gross,ann_volatility_gross,sharpe_gross,max_drawdown_gross,calmar_gross,ann_return_net,ann_volatility_net,sharpe_net,max_drawdown_net,calmar_net,cumulative_cost,oos_start,oos_end,n_oos_days,n_rebalances,family_common_start,family_common_end
crypto_cap_0_25,crypto_cap,crypto_cap,False,common_family,252,0.25,monthly,sample,0.0,0.0,0.11809890264099754,0.10774404251620649,1.0961061037155118,-0.23414979433947725,0.504373292208723,0.11809890264099754,0.10774404251620649,1.0961061037155118,-0.23414979433947725,0.504373292208723,0.0,2019-01-01,2026-05-01,1914,89,2019-01-01,2026-05-01
crypto_cap_0_25,crypto_cap,crypto_cap,False,common_family,252,0.25,monthly,sample,10.0,0.001,0.11809890264099754,0.10774404251620649,1.0961061037155118,-0.23414979433947725,0.504373292208723,0.11775181251141453,0.10774148477475672,1.0929106161622453,-0.23425242472396657,0.5026706240081332,0.002361233195271971,2019-01-01,2026-05-01,1914,89,2019-01-01,2026-05-01
crypto_cap_0_25,crypto_cap,crypto_cap,False,common_family,252,0.25,monthly,sample,25.0,0.0025,0.11809890264099754,0.10774404251620649,1.0961061037155118,-0.23414979433947725,0.504373292208723,0.11723133777404438,0.10773798630568646,1.0881151745441233,-0.23440634793906723,0.5001201494957725,0.005903082988179927,2019-01-01,2026-05-01,1914,89,2019-01-01,2026-05-01
crypto_cap_0_25,crypto_cap,crypto_cap,False,common_family,252,0.25,monthly,sample,50.0,0.005,0.11809890264099754,0.10774404251620649,1.0961061037155118,-0.23414979433947725,0.504373292208723,0.11636430760775807,0.10773305733362368,1.0801170085371796,-0.2346628270097737,0.49587874266473186,0.011806165976359854,2019-01-01,2026-05-01,1914,89,2019-01-01,2026-05-01
lookback_126,lookback,lookback,False,common_family,126,0.2,monthly,sample,0.0,0.0,0.10647543753093869,0.11141107215256578,0.9556988858803167,-0.23464946957844945,0.45376381085464657,0.10647543753093869,0.11141107215256578,0.9556988858803167,-0.23464946957844945,0.45376381085464657,0.0,2020-01-01,2026-05-01,1653,77,2020-01-01,2026-05-01
lookback_126,lookback,lookback,False,common_family,126,0.2,monthly,sample,10.0,0.001,0.10647543753093869,0.11141107215256578,0.9556988858803167,-0.23464946957844945,0.45376381085464657,0.10595565672952656,0.11140590596575269,0.9510775556378349,-0.23485231279711338,0.4511586684737511,0.0030870947333695832,2020-01-01,2026-05-01,1653,77,2020-01-01,2026-05-01
lookback_126,lookback,lookback,False,common_family,126,0.2,monthly,sample,25.0,0.0025,0.10647543753093869,0.11141107215256578,0.9556988858803167,-0.23464946957844945,0.45376381085464657,0.105176351302952,0.11139888906097617,0.9441418329170397,-0.23515649194311805,0.4472611001885208,0.007717736833423958,2020-01-01,2026-05-01,1653,77,2020-01-01,2026-05-01
lookback_126,lookback,lookback,False,common_family,126,0.2,monthly,sample,50.0,0.005,0.10647543753093869,0.11141107215256578,0.9556988858803167,-0.23464946957844945,0.45376381085464657,0.10387848379848674,0.11138914761811729,0.932572750755039,-0.23566322877309986,0.4407920757909267,0.015435473666847915,2020-01-01,2026-05-01,1653,77,2020-01-01,2026-05-01
lookback_252,lookback,lookback,False,common_family,252,0.2,monthly,sample,0.0,0.0,0.10353907798777806,0.11296387218311697,0.9165680671776096,-0.2341497943394758,0.4421916247240632,0.10353907798777806,0.11296387218311697,0.9165680671776096,-0.2341497943394758,0.4421916247240632,0.0,2020-01-01,2026-05-01,1653,77,2020-01-01,2026-05-01
lookback_252,lookback,lookback,False,common_family,252,0.2,monthly,sample,10.0,0.001,0.10353907798777806,0.11296387218311697,0.9165680671776096,-0.2341497943394758,0.4421916247240632,0.10317640392181393,0.11296036109618332,0.9133859251207725,-0.23425242472396568,0.4404496732249118,0.002159516050881066,2020-01-01,2026-05-01,1653,77,2020-01-01,2026-05-01
