rebalance_date,experiment_id,dimension_tested,family,lookback_window_days,max_total_crypto_weight,rebalance_frequency,covariance_method,turnover_one_way,is_initial_rebalance,n_assets_changed,max_abs_weight_change
2025-01-01,baseline_ch1,anchor,anchors,252,0.2,monthly,sample,0.011064965356643803,False,5,0.010525328430393444
2025-02-03,baseline_ch1,anchor,anchors,252,0.2,monthly,sample,0.014803974364608343,False,5,0.0124406672792749
2025-03-03,baseline_ch1,anchor,anchors,252,0.2,monthly,sample,0.01961840265146711,False,5,0.01246513118887782
2025-04-01,baseline_ch1,anchor,anchors,252,0.2,monthly,sample,0.026590045466815364,False,4,0.023595021761850077
2025-05-01,baseline_ch1,anchor,anchors,252,0.2,monthly,sample,0.049447929218604775,False,4,0.04944792921860475
2025-06-02,baseline_ch1,anchor,anchors,252,0.2,monthly,sample,0.02713382394855395,False,4,0.027133823948553903
2025-07-01,baseline_ch1,anchor,anchors,252,0.2,monthly,sample,0.007423914784891501,False,4,0.0074239147848914055
2025-08-01,baseline_ch1,anchor,anchors,252,0.2,monthly,sample,0.007247854134598387,False,4,0.0071489838987252585
2025-09-01,baseline_ch1,anchor,anchors,252,0.2,monthly,sample,0.009962808145698422,False,4,0.00942188145959505
2025-10-01,baseline_ch1,anchor,anchors,252,0.2,monthly,sample,0.017391051161728278,False,4,0.017391051161728233
2025-11-03,baseline_ch1,anchor,anchors,252,0.2,monthly,sample,0.03358676778055416,False,4,0.030327031197015353
2025-12-01,baseline_ch1,anchor,anchors,252,0.2,monthly,sample,0.013529766148401024,False,4,0.012662631464748886
2026-01-01,baseline_ch1,anchor,anchors,252,0.2,monthly,sample,0.01910960560107086,False,4,0.01910960560107089
2026-02-02,baseline_ch1,anchor,anchors,252,0.2,monthly,sample,0.06472235476376509,False,4,0.06472235476376514
2026-03-02,baseline_ch1,anchor,anchors,252,0.2,monthly,sample,0.05872079059806236,False,5,0.044247159344350376
2026-04-01,baseline_ch1,anchor,anchors,252,0.2,monthly,sample,0.10024362789269767,False,4,0.10024362789269761
2026-05-01,baseline_ch1,anchor,anchors,252,0.2,monthly,sample,0.04307876863295492,False,4,0.026202019043741698
2019-01-01,covariance_ledoit_wolf_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,ledoit_wolf,0.0,True,0,0.0
2019-02-01,covariance_ledoit_wolf_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,ledoit_wolf,0.017055913317114937,False,4,0.017055913317114868
2019-03-01,covariance_ledoit_wolf_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,ledoit_wolf,0.009941820844990106,False,4,0.009265822998698159
2019-04-01,covariance_ledoit_wolf_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,ledoit_wolf,0.016451826679694817,False,4,0.012428197543774
2019-05-01,covariance_ledoit_wolf_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,ledoit_wolf,0.014395205835154306,False,4,0.011078815082601225
2019-06-03,covariance_ledoit_wolf_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,ledoit_wolf,0.023513858391075344,False,5,0.01725845557086425
2019-07-01,covariance_ledoit_wolf_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,ledoit_wolf,0.022025554927520105,False,5,0.015518995154266912
2019-08-01,covariance_ledoit_wolf_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,ledoit_wolf,0.017923802116973756,False,6,0.01557393145316105
2019-09-02,covariance_ledoit_wolf_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,ledoit_wolf,0.03596394980712274,False,6,0.03257333116121308
2019-10-01,covariance_ledoit_wolf_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,ledoit_wolf,0.023356793304917293,False,5,0.01849180508597326
2019-11-01,covariance_ledoit_wolf_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,ledoit_wolf,0.042905946930967165,False,6,0.03210073172747131
2019-12-02,covariance_ledoit_wolf_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,ledoit_wolf,0.033251540811270006,False,6,0.025103716800530168
2020-01-01,covariance_ledoit_wolf_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,ledoit_wolf,0.0500476496219505,False,6,0.03871762249224825
2020-02-03,covariance_ledoit_wolf_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,ledoit_wolf,0.026040943979288505,False,6,0.021014813422022605
2020-03-02,covariance_ledoit_wolf_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,ledoit_wolf,0.011872605253988552,False,6,0.009415418666810352
2020-04-01,covariance_ledoit_wolf_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,ledoit_wolf,0.15206906788811528,False,5,0.10990554003474531
2020-05-01,covariance_ledoit_wolf_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,ledoit_wolf,0.03272128476577006,False,4,0.023585368155904562
2020-06-01,covariance_ledoit_wolf_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,ledoit_wolf,0.012987017129681104,False,4,0.012987017129681144
2020-07-01,covariance_ledoit_wolf_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,ledoit_wolf,0.010244225546843485,False,4,0.010244225546843455
2020-08-03,covariance_ledoit_wolf_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,ledoit_wolf,0.011989568674208768,False,4,0.010165999844889972
2020-09-01,covariance_ledoit_wolf_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,ledoit_wolf,0.025896687096275853,False,4,0.02235054609710793
2020-10-01,covariance_ledoit_wolf_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,ledoit_wolf,0.027102819339397566,False,4,0.019802570760313165
2020-11-02,covariance_ledoit_wolf_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,ledoit_wolf,0.010744443127882442,False,4,0.006683244017570436
2020-12-01,covariance_ledoit_wolf_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,ledoit_wolf,0.026517699588099186,False,4,0.025394199300683096
2021-01-01,covariance_ledoit_wolf_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,ledoit_wolf,0.01652789795021979,False,4,0.015184319240229116
2021-02-01,covariance_ledoit_wolf_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,ledoit_wolf,0.008570746089544841,False,4,0.008570746089544792
2021-03-01,covariance_ledoit_wolf_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,ledoit_wolf,0.011545718347334543,False,4,0.008055391483222027
2021-04-01,covariance_ledoit_wolf_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,ledoit_wolf,0.1286530160495585,False,4,0.11390375457835264
2021-05-03,covariance_ledoit_wolf_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,ledoit_wolf,0.008777452389590004,False,4,0.004720779488918636
2021-06-01,covariance_ledoit_wolf_baseline_ch1,covariance_method,covariance_method,252,0.2,monthly,ledoit_wolf,0.013783531137622314,False,4,0.011542627530694183
