target_col,model_name,bucket,mean_pred,mean_realized,n
target_portfolio_vol_63d,ridge,4,0.14779723489374416,0.15006930268178348,618
target_spy_vol_21d,elastic_net,0,0.08325481626968455,0.08363703569560323,794
target_spy_vol_21d,elastic_net,1,0.107371273935611,0.10769326202358125,794
target_spy_vol_21d,elastic_net,2,0.13300602441639284,0.13153795699649032,793
target_spy_vol_21d,elastic_net,3,0.16860249729506155,0.16510046665044878,794
target_spy_vol_21d,elastic_net,4,0.26525855800644355,0.26565476829335394,794
target_spy_vol_21d,ewma,0,0.07088456953447023,0.10076870341879939,794
target_spy_vol_21d,ewma,1,0.08356704208342547,0.12353959606234671,794
target_spy_vol_21d,ewma,2,0.09347820169764653,0.1345605401615034,793
target_spy_vol_21d,ewma,3,0.10810510557695502,0.15504193260423735,794
target_spy_vol_21d,ewma,4,0.15098386619476767,0.23971652419239545,794
target_spy_vol_21d,naive_rolling_vol,0,0.06898906368284281,0.09945983757614192,794
target_spy_vol_21d,naive_rolling_vol,1,0.08319329392709414,0.12272467506947986,795
target_spy_vol_21d,naive_rolling_vol,2,0.0930653654095365,0.1377372725410786,793
target_spy_vol_21d,naive_rolling_vol,3,0.10768167537159093,0.15351243600068826,794
target_spy_vol_21d,naive_rolling_vol,4,0.15503098615420977,0.24034521287177008,793
target_spy_vol_21d,random_forest,0,0.08531992850654382,0.08395196541761141,796
target_spy_vol_21d,random_forest,1,0.10727502391631726,0.10790721857149524,792
target_spy_vol_21d,random_forest,2,0.13204290661561588,0.13178934669136352,793
target_spy_vol_21d,random_forest,3,0.1658457079614114,0.16439027068827722,795
target_spy_vol_21d,random_forest,4,0.26129746980500607,0.26577303168745786,793
target_spy_vol_21d,ridge,0,0.08246415499793844,0.08522520486769981,794
target_spy_vol_21d,ridge,1,0.1087663274590655,0.10867762488069937,794
target_spy_vol_21d,ridge,2,0.1331103558848175,0.12983590670288775,793
target_spy_vol_21d,ridge,3,0.1704054499785912,0.1648625908808869,794
target_spy_vol_21d,ridge,4,0.2651767056082731,0.2650200186871354,794
target_spy_vol_63d,elastic_net,0,0.1004797270802584,0.10018079744933477,769
target_spy_vol_63d,elastic_net,1,0.11425790140908913,0.11285399940259287,768
target_spy_vol_63d,elastic_net,2,0.12995177110556205,0.12932045387857535,769
target_spy_vol_63d,elastic_net,3,0.17101537653659185,0.16895560174685478,768
target_spy_vol_63d,elastic_net,4,0.2677658608804703,0.2675009017892628,769
target_spy_vol_63d,ewma,0,0.0758940097635324,0.11403514031563894,769
target_spy_vol_63d,ewma,1,0.08785182161536141,0.12219602058005154,768
target_spy_vol_63d,ewma,2,0.09705748230288758,0.13384426013098077,769
target_spy_vol_63d,ewma,3,0.109947026413255,0.15917273166585713,768
target_spy_vol_63d,ewma,4,0.1444974523263855,0.24956302829853488,769
target_spy_vol_63d,naive_rolling_vol,0,0.07566514488943248,0.11455730672998508,771
target_spy_vol_63d,naive_rolling_vol,1,0.0872089785612609,0.12118754305833096,768
target_spy_vol_63d,naive_rolling_vol,2,0.09716186780210602,0.1334569374120267,769
target_spy_vol_63d,naive_rolling_vol,3,0.11029472892091359,0.1596488434073898,767
target_spy_vol_63d,naive_rolling_vol,4,0.1456841740504493,0.25019487644394345,768
target_spy_vol_63d,random_forest,0,0.10205468831386952,0.10127184926814711,770
target_spy_vol_63d,random_forest,1,0.11304585361681098,0.1119018553983739,767
target_spy_vol_63d,random_forest,2,0.1291654986047132,0.12930916477331686,769
target_spy_vol_63d,random_forest,3,0.16924843571250936,0.1690873346945312,769
target_spy_vol_63d,random_forest,4,0.289659611131957,0.2673821280105215,768
target_spy_vol_63d,ridge,0,0.09967649083777162,0.10046706573273603,769
target_spy_vol_63d,ridge,1,0.11597990612494334,0.11298353260286781,768
target_spy_vol_63d,ridge,2,0.131508633686787,0.12897056779519683,769
target_spy_vol_63d,ridge,3,0.17360434972992042,0.16898606869268265,768
target_spy_vol_63d,ridge,4,0.26583866877621326,0.2674047275057459,769
