rebalance_date,turnover_one_way,is_initial_rebalance,strategy
2025-10-01,0.01732424673607716,False,minvar_no_crypto_control
2025-11-03,0.025978181019744008,False,minvar_no_crypto_control
2025-12-01,0.012963888148260114,False,minvar_no_crypto_control
2026-01-01,0.018328984665042045,False,minvar_no_crypto_control
2026-02-02,0.06054476091069054,False,minvar_no_crypto_control
2026-03-02,0.05429207091461683,False,minvar_no_crypto_control
2026-04-01,0.1002436278926977,False,minvar_no_crypto_control
2026-05-01,0.04307876863295498,False,minvar_no_crypto_control
2019-01-01,0.0,True,minvar_dynamic_crypto_cap_naive_vol
2019-02-01,0.017239902497592732,False,minvar_dynamic_crypto_cap_naive_vol
2019-03-01,0.009774552245877238,False,minvar_dynamic_crypto_cap_naive_vol
2019-04-01,0.016972178950554626,False,minvar_dynamic_crypto_cap_naive_vol
2019-05-01,0.013687831870597321,False,minvar_dynamic_crypto_cap_naive_vol
2019-06-03,0.022578431278067287,False,minvar_dynamic_crypto_cap_naive_vol
2019-07-01,0.014972096294060464,False,minvar_dynamic_crypto_cap_naive_vol
2019-08-01,0.005407300325002057,False,minvar_dynamic_crypto_cap_naive_vol
2019-09-02,0.038879853191315344,False,minvar_dynamic_crypto_cap_naive_vol
2019-10-01,0.01941515616849313,False,minvar_dynamic_crypto_cap_naive_vol
2019-11-01,0.014402062908502157,False,minvar_dynamic_crypto_cap_naive_vol
2019-12-02,0.028387778660842605,False,minvar_dynamic_crypto_cap_naive_vol
2020-01-01,0.07417011611037741,False,minvar_dynamic_crypto_cap_naive_vol
2020-02-03,0.0295015779851777,False,minvar_dynamic_crypto_cap_naive_vol
2020-03-02,0.054779311176414505,False,minvar_dynamic_crypto_cap_naive_vol
2020-04-01,0.24326065693740473,False,minvar_dynamic_crypto_cap_naive_vol
2020-05-01,0.0797664074920334,False,minvar_dynamic_crypto_cap_naive_vol
2020-06-01,0.015456929988483201,False,minvar_dynamic_crypto_cap_naive_vol
2020-07-01,0.030534954639086676,False,minvar_dynamic_crypto_cap_naive_vol
2020-08-03,0.01651829056706738,False,minvar_dynamic_crypto_cap_naive_vol
2020-09-01,0.09183160272817686,False,minvar_dynamic_crypto_cap_naive_vol
2020-10-01,0.012929537737020599,False,minvar_dynamic_crypto_cap_naive_vol
2020-11-02,0.005703828513915436,False,minvar_dynamic_crypto_cap_naive_vol
2020-12-01,0.02626226406706874,False,minvar_dynamic_crypto_cap_naive_vol
2021-01-01,0.01481047010684049,False,minvar_dynamic_crypto_cap_naive_vol
2021-02-01,0.0052001170015349004,False,minvar_dynamic_crypto_cap_naive_vol
2021-03-01,0.019069629247999823,False,minvar_dynamic_crypto_cap_naive_vol
2021-04-01,0.04904914517441912,False,minvar_dynamic_crypto_cap_naive_vol
2021-05-03,0.0050475686481349135,False,minvar_dynamic_crypto_cap_naive_vol
2021-06-01,0.015051460038910098,False,minvar_dynamic_crypto_cap_naive_vol
2021-07-01,0.021963934810531417,False,minvar_dynamic_crypto_cap_naive_vol
2021-08-02,0.0027290063587017783,False,minvar_dynamic_crypto_cap_naive_vol
2021-09-01,0.007202668430581906,False,minvar_dynamic_crypto_cap_naive_vol
2021-10-01,0.004203550114470556,False,minvar_dynamic_crypto_cap_naive_vol
2021-11-01,0.010975975973293481,False,minvar_dynamic_crypto_cap_naive_vol
2021-12-01,0.009307680250824516,False,minvar_dynamic_crypto_cap_naive_vol
2022-01-03,0.013433621577093331,False,minvar_dynamic_crypto_cap_naive_vol
2022-02-01,0.006358514603750848,False,minvar_dynamic_crypto_cap_naive_vol
2022-03-01,0.011116731731706103,False,minvar_dynamic_crypto_cap_naive_vol
2022-04-01,0.020592335518110905,False,minvar_dynamic_crypto_cap_naive_vol
2022-05-02,0.008530065010145475,False,minvar_dynamic_crypto_cap_naive_vol
2022-06-01,0.017281837969320285,False,minvar_dynamic_crypto_cap_naive_vol
2022-07-01,0.007922865070210528,False,minvar_dynamic_crypto_cap_naive_vol
