date,strategy,objective,beta,max_total_crypto_weight,portfolio_return
2022-11-15,minvar_no_crypto_control,min_variance,0.95,0.0,0.009317868526209019
2022-11-16,minvar_no_crypto_control,min_variance,0.95,0.0,0.004448674646198884
2022-11-17,minvar_no_crypto_control,min_variance,0.95,0.0,-0.007195109704766179
2022-11-18,minvar_no_crypto_control,min_variance,0.95,0.0,-0.003553697479349789
2022-11-21,minvar_no_crypto_control,min_variance,0.95,0.0,-0.0016073666983877767
2022-11-22,minvar_no_crypto_control,min_variance,0.95,0.0,0.009328847326738464
2022-11-23,minvar_no_crypto_control,min_variance,0.95,0.0,0.010190761082195438
2022-11-24,minvar_no_crypto_control,min_variance,0.95,0.0,2.779410362536588e-20
2022-11-25,minvar_no_crypto_control,min_variance,0.95,0.0,-0.0009623890913142933
2022-11-28,minvar_no_crypto_control,min_variance,0.95,0.0,-0.006483838749622012
2022-11-29,minvar_no_crypto_control,min_variance,0.95,0.0,-0.0029341472523462787
2022-11-30,minvar_no_crypto_control,min_variance,0.95,0.0,0.016316500794110397
2022-12-01,minvar_no_crypto_control,min_variance,0.95,0.0,0.017394896209971297
2022-12-02,minvar_no_crypto_control,min_variance,0.95,0.0,0.0029138037509024613
2022-12-05,minvar_no_crypto_control,min_variance,0.95,0.0,-0.0162728624538933
2022-12-06,minvar_no_crypto_control,min_variance,0.95,0.0,0.0013564899135086253
2022-12-07,minvar_no_crypto_control,min_variance,0.95,0.0,0.011219895714469484
2022-12-08,minvar_no_crypto_control,min_variance,0.95,0.0,0.0015143655475590094
2022-12-09,minvar_no_crypto_control,min_variance,0.95,0.0,-0.010436826750955015
2022-12-12,minvar_no_crypto_control,min_variance,0.95,0.0,0.002385427595445266
2022-12-13,minvar_no_crypto_control,min_variance,0.95,0.0,0.011636782438069797
2022-12-14,minvar_no_crypto_control,min_variance,0.95,0.0,-0.0011659502201075967
2022-12-15,minvar_no_crypto_control,min_variance,0.95,0.0,-0.011358061384160841
2022-12-16,minvar_no_crypto_control,min_variance,0.95,0.0,-0.004430724715790493
2022-12-19,minvar_no_crypto_control,min_variance,0.95,0.0,-0.009522588412815254
2022-12-20,minvar_no_crypto_control,min_variance,0.95,0.0,-0.00015682030957681753
2022-12-21,minvar_no_crypto_control,min_variance,0.95,0.0,0.004526668316873319
2022-12-22,minvar_no_crypto_control,min_variance,0.95,0.0,-0.008482503504993211
2022-12-23,minvar_no_crypto_control,min_variance,0.95,0.0,-0.0025467860862643564
2022-12-26,minvar_no_crypto_control,min_variance,0.95,0.0,0.0
2022-12-27,minvar_no_crypto_control,min_variance,0.95,0.0,-0.005098273132132185
2022-12-28,minvar_no_crypto_control,min_variance,0.95,0.0,-0.0072615215571252036
2022-12-29,minvar_no_crypto_control,min_variance,0.95,0.0,0.011146247177824701
2022-12-30,minvar_no_crypto_control,min_variance,0.95,0.0,-0.002942388606245539
2023-01-02,minvar_no_crypto_control,min_variance,0.95,0.0,2.592045003319446e-20
2023-01-03,minvar_no_crypto_control,min_variance,0.95,0.0,0.0083462385277555
2023-01-04,minvar_no_crypto_control,min_variance,0.95,0.0,0.010427499235480727
2023-01-05,minvar_no_crypto_control,min_variance,0.95,0.0,-0.006242388570684234
