rebalance_date,strategy,objective,beta,max_total_crypto_weight,turnover_one_way,is_initial_rebalance,n_assets_changed,max_abs_weight_change
2020-09-01,cvar_no_crypto_control,min_historical_cvar,0.95,0.0,0.039659512588400406,False,4,0.03965951258840045
2020-10-01,cvar_no_crypto_control,min_historical_cvar,0.95,0.0,0.07393814969301957,False,4,0.06935403058652444
2020-11-02,cvar_no_crypto_control,min_historical_cvar,0.95,0.0,0.011441949944150799,False,4,0.007326298137466575
2020-12-01,cvar_no_crypto_control,min_historical_cvar,0.95,0.0,0.24508358491205592,False,4,0.24508358491205598
2021-01-01,cvar_no_crypto_control,min_historical_cvar,0.95,0.0,0.014810470106840501,False,3,0.014810470106840501
2021-02-01,cvar_no_crypto_control,min_historical_cvar,0.95,0.0,0.005200117001534943,False,3,0.005200117001534943
2021-03-01,cvar_no_crypto_control,min_historical_cvar,0.95,0.0,0.019069629247999653,False,3,0.01906962924799971
2021-04-01,cvar_no_crypto_control,min_historical_cvar,0.95,0.0,0.04904914517441902,False,3,0.04904914517441905
2021-05-03,cvar_no_crypto_control,min_historical_cvar,0.95,0.0,0.005047568648134854,False,3,0.005047568648134937
2021-06-01,cvar_no_crypto_control,min_historical_cvar,0.95,0.0,0.015051460038909947,False,3,0.015051460038910003
2021-07-01,cvar_no_crypto_control,min_historical_cvar,0.95,0.0,0.0219639348105313,False,3,0.02196393481053127
2021-08-02,cvar_no_crypto_control,min_historical_cvar,0.95,0.0,0.002729006358701741,False,3,0.0027290063587017688
2021-09-01,cvar_no_crypto_control,min_historical_cvar,0.95,0.0,0.007202668430581843,False,3,0.007202668430581816
2021-10-01,cvar_no_crypto_control,min_historical_cvar,0.95,0.0,0.0037942208381852305,False,3,0.0037942208381852027
2021-11-01,cvar_no_crypto_control,min_historical_cvar,0.95,0.0,0.010975975973293584,False,3,0.010975975973293639
2021-12-01,cvar_no_crypto_control,min_historical_cvar,0.95,0.0,0.00797546257420656,False,3,0.00797546257420656
2022-01-03,cvar_no_crypto_control,min_historical_cvar,0.95,0.0,0.013454623913103703,False,3,0.013454623913103703
2022-02-01,cvar_no_crypto_control,min_historical_cvar,0.95,0.0,0.006358514603750809,False,3,0.006358514603750809
2022-03-01,cvar_no_crypto_control,min_historical_cvar,0.95,0.0,0.043488053559029044,False,3,0.04348805355902907
2022-04-01,cvar_no_crypto_control,min_historical_cvar,0.95,0.0,0.016695113267893857,False,3,0.016695113267893857
2022-05-02,cvar_no_crypto_control,min_historical_cvar,0.95,0.0,0.017067381304245705,False,3,0.017067381304245677
2022-06-01,cvar_no_crypto_control,min_historical_cvar,0.95,0.0,0.01907256741756097,False,3,0.01907256741756097
2022-07-01,cvar_no_crypto_control,min_historical_cvar,0.95,0.0,0.012945161711442832,False,3,0.012945161711442832
2022-08-01,cvar_no_crypto_control,min_historical_cvar,0.95,0.0,0.03669913709458977,False,3,0.03669913709458977
2022-09-01,cvar_no_crypto_control,min_historical_cvar,0.95,0.0,0.013714330428025723,False,3,0.013714330428025667
2022-10-03,cvar_no_crypto_control,min_historical_cvar,0.95,0.0,0.014219964947361247,False,3,0.014219964947361219
2022-11-01,cvar_no_crypto_control,min_historical_cvar,0.95,0.0,0.038735193029621334,False,3,0.03873519302962136
2022-12-01,cvar_no_crypto_control,min_historical_cvar,0.95,0.0,0.004434113975211179,False,3,0.004434113975211151
